name,description,implementation status,effect_level,version
AtomLabelStyle,,,,13
AtomList,,,,12
AtomQ,Tests if expression is an atom (not a compound expression),✅,pure,1
AttachCell,,,,12.2
AttachedCell,,,,13
AttentionLayer,,,,12
Attributes,Returns the attributes of a symbol,✅,pure,1
Audio,,,,11
AudioAmplify,,,,11
AudioAnnotate,,,,12
AudioAnnotationLookup,,,,12
AudioBlockMap,,,,11
AudioCapture,,,,11.1
AudioChannelAssignment,,,,11.2
AudioChannelCombine,,,,11
AudioChannelMix,,,,11
AudioChannels,,,,11
AudioChannelSeparate,,,,11
AudioData,,,,11
AudioDelay,,,,11
AudioDelete,,,,11
AudioDistance,,,,11.3
AudioEncoding,,,,12.1
AudioFade,,,,11
AudioFrequencyShift,,,,11
AudioGenerator,,,,11
AudioIdentify,,,,12
AudioInputDevice,,,,11.1
AudioInsert,,,,11.1
AudioInstanceQ,,,,12.1
AudioIntervals,,,,11
AudioJoin,,,,11
AudioLabel,,,,11
AudioLength,,,,11
AudioLocalMeasurements,,,,11
AudioLoudness,,,,11.1
AudioMeasurements,,,,11
AudioNormalize,,,,11
AudioOutputDevice,,,,11.2
AudioOverlay,,,,11
AudioPad,,,,11
AudioPan,,,,11
AudioPartition,,,,11
AudioPause,,,,11.2
AudioPitchShift,,,,11
AudioPlay,,,,11.2
AudioPlot,,,,11
AudioQ,,,,11
AudioRecord,,,,11.3
AudioReplace,,,,11.1
AudioResample,,,,11
AudioReverb,,,,11
AudioReverse,,,,12.1
AudioSampleRate,,,,11
AudioSpectralMap,,,,11.1
AudioSpectralTransformation,,,,11.1
AudioSplit,,,,11
AudioStop,,,,11.2
AudioStream,,,,11.2
AudioStreams,,,,11.2
AudioTimeStretch,,,,11
AudioTrackApply,,,,12.2
AudioTrackSelection,,,,12.2
AudioTrim,,,,11
AudioType,,,,11
AugmentedPolyhedron,,,,12
AugmentedSymmetricPolynomial,,,,8
Authentication,,,,11
AuthenticationDialog,,,,11.3
AutoAction,,,,6
Autocomplete,,,,10.2
AutocompletionFunction,,,,10.2
AutoCopy,,,,11
AutocorrelationTest,,,,10
AutoDelete,,,,3
AutoIndent,,,,3
AutoItalicWords,,,,3
Automatic,,,,1
AutoMultiplicationSymbol,,,,6
AutoOperatorRenderings,,,,12.3
AutoRefreshed,,,,10.2
AutoRemove,,,,10
AutorunSequencing,,,,6
AutoScroll,,,,3
AutoSpacing,,,,3
AutoSubmitting,,,,10.2
Axes,,,,1
AxesEdge,,,,2
AxesLabel,,,,1
AxesOrigin,,,,2
AxesStyle,,,,2
AxiomaticTheory,,,,12
Axis,,,,3
AxisLabel,,,,12.3
AxisObject,,,,12.3
AxisStyle,,,,12.3
B,,,,
BabyMonsterGroupB,,,,8
Back,,,,6
Background,,,,2
Backslash,,,,3
Backward,,,,6
Ball,,,,10
Band,,,,6
BandpassFilter,,,,9
BandstopFilter,,,,9
BarabasiAlbertGraphDistribution,,,,8
BarChart,Creates a bar chart from data,✅,pure,7
BarChart3D,,,,7
BarcodeImage,,,,10
BarcodeRecognize,,,,10
BaringhausHenzeTest,,,,10.2
BarLegend,,,,9
BarlowProschanImportance,,,,9
BarnesG,,,,7
BarOrigin,,,,7
BarSpacing,,,,7
BartlettHannWindow,,,,9
BartlettWindow,,,,9
BaseDecode,,,,11.3
BaseEncode,,,,11.3
BaseForm,,,,1
Baseline,,,,3
BaselinePosition,,,,6
BaseStyle,,,,6
BasicRecurrentLayer,,,,11.1
BatchNormalizationLayer,,,,11
BatchSize,,,,11
BatesDistribution,,,,8
BattleLemarieWavelet,,,,8
BayesianMaximization,,,,11
BayesianMaximizationObject,,,,11
BayesianMinimization,,,,11
BayesianMinimizationObject,,,,11
Because,Represents a because logical relation,✅,pure,3
BeckmannDistribution,,,,8
Beep,,,,6
Before,,,,3
Begin,,,,1
BeginDialogPacket,,,,3
BeginPackage,,,,1
BellB,Returns the Bell number or Bell polynomial,✅,pure,6
BellY,,,,8
Below,,,,1
BenfordDistribution,,,,8
BeniniDistribution,,,,8
BenktanderGibratDistribution,,,,8
BenktanderWeibullDistribution,,,,8
BernoulliB,Returns the nth Bernoulli number,✅,pure,1
BernoulliDistribution,,,,6
BernoulliGraphDistribution,,,,8
BernoulliProcess,,,,9
BernsteinBasis,,,,7
BesagL,,,,12.2
BesselFilterModel,,,,9
BesselI,,,,1
BesselJ,,,,1
BesselJZero,,,,6
BesselK,,,,1
BesselY,,,,1
BesselYZero,,,,6
Beta,,,,1
BetaBinomialDistribution,,,,6
BetaDistribution,,,,6
BetaNegativeBinomialDistribution,,,,6
BetaPrimeDistribution,,,,8
BetaRegularized,,,,2
Between,Tests if a value is between bounds,✅,pure,10.3
BetweennessCentrality,,,,8
BeveledPolyhedron,,,,12
BezierCurve,Represents a Bezier curve graphics primitive,✅,pure,7
BezierFunction,,,,7
BilateralFilter,,,,8
BilateralHypergeometricPFQ,,,,14
BilateralLaplaceTransform,,,,12.3
BilateralZTransform,,,,13
Binarize,Converts an image to black and white using a threshold,✅,pure,7
BinaryDeserialize,,,,11.1
BinaryDistance,,,,10.2
BinaryFormat,,,,3
BinaryImageQ,,,,7
BinaryRead,,,,5.1
BinaryReadList,,,,5.1
BinarySerialize,,,,11.1
BinaryWrite,,,,5.1
BinCounts,Counts data points in equal-width bins,✅,pure,6
BinLists,,,,6
BinnedVariogramList,,,,13
Binomial,Returns the binomial coefficient,✅,pure,1
BinomialDistribution,,,,6
BinomialPointProcess,,,,12.2
BinomialProcess,,,,9
BinormalDistribution,,,,8
BioMolecule,,,,14.1
BioMoleculeFoldingMethod,,,,14.1
BioMoleculePlot3D,,,,14.1
BioMoleculeValue,,,,14.1
BiorthogonalSplineWavelet,,,,8
BioSequence,,,,12.2
BioSequenceBackTranslateList,,,,12.2
BioSequenceComplement,,,,12.2
BioSequenceInstances,,,,12.2
BioSequenceModify,,,,12.2
BioSequencePlot,,,,13
BioSequenceQ,,,,12.2
BioSequenceReverseComplement,,,,12.2
BioSequenceTranscribe,,,,12.2
BioSequenceTranslate,,,,12.2
BipartiteGraphQ,,,,8
BiquadraticFilterModel,,,,10.4
BirnbaumImportance,,,,9
BirnbaumSaundersDistribution,,,,8
BitAnd,Returns the bitwise AND of integers,✅,pure,4
BitClear,,,,6
BitFlip,,,,14.1
